word_category,clamp_value,effect_size,baseline_logit
casual_high_emotion,-4.0,0.0012009583413599145,-2.9005175419151783
casual_high_emotion,0.0,0.0,-2.9005175419151783
casual_high_emotion,1.0,-0.00030308812856683076,-2.9005175419151783
casual_high_emotion,4.0,-0.0012358643114565027,-2.9005175419151783
casual_low_emotion,-4.0,0.0014610320329668802,-3.8400453835725785
casual_low_emotion,0.0,0.0,-3.8400453835725785
casual_low_emotion,1.0,-0.0003631137311459476,-3.8400453835725785
casual_low_emotion,4.0,-0.0014516532421109396,-3.8400453835725785
formal_high_emotion,-4.0,0.0010894678533075464,-6.249189160764217
formal_high_emotion,0.0,0.0,-6.249189160764217
formal_high_emotion,1.0,-0.0002777636051174426,-6.249189160764217
formal_high_emotion,4.0,-0.0011562518775463104,-6.249189160764217
formal_low_emotion,-4.0,0.001024466753006159,-3.115844453126192
formal_low_emotion,0.0,0.0,-3.115844453126192
formal_low_emotion,1.0,-0.0002613164484501773,-3.115844453126192
formal_low_emotion,4.0,-0.0010421447455883914,-3.115844453126192
