clamp_value,formality_effect,emotion_effect,interaction_effect,formality_f,formality_p,emotion_f,emotion_p,interaction_f,interaction_p,formal_low_mean,formal_high_mean,casual_low_mean,casual_high_mean
-4.0,8.017942309379578e-06,6.352737545967102e-06,2.586022019386292e-05,1.1511722702789007,0.2849398628416775,0.7207091665151572,0.397195793346486,5.062168768866684,0.027272029582468157,-1.8984079360961915e-06,4.678964614868164e-06,1.9049644470214845e-05,-2.3320317268371583e-07
0.0,2.0217150449752805e-06,1.1693686246871947e-06,5.593150854110717e-06,1.6282364297858702,0.2038197614265723,0.5410188348442372,0.46310126411731145,5.170710343814903,0.02572032646791203,-2.935528755187988e-07,1.3336539268493652e-06,4.5247375965118405e-06,5.587935447692871e-07
1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
4.0,4.542618989944458e-06,3.4742057323455816e-06,1.4403462409973143e-05,1.0407921411410375,0.30919686940711766,0.6071228829815912,0.43703864336973297,4.374630267063148,0.03973218470073798,1.691281795501709e-07,-3.5583972930908205e-06,-1.1575222015380859e-05,-8.992850780487061e-07
