clamp_value,formality_effect,emotion_effect,interaction_effect,formality_f,formality_p,emotion_f,emotion_p,interaction_f,interaction_p,formal_low_mean,formal_high_mean,casual_low_mean,casual_high_mean
-15.0,4.496574401855469e-05,6.245970726013184e-05,0.00019693374633789062,0.2780957974438228,0.5986917261373372,0.5374546337775051,0.4645758225097648,1.811566357198348,0.18221949513414987,-2.9009580612182617e-05,-6.501674652099609e-05,-0.0001724421977996826,-1.1515617370605468e-05
1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
4.0,2.0003318786621095e-05,7.748603820800781e-07,1.8370151519775393e-05,2.790944560569052,0.09578219618458031,0.004151496722446175,0.9486666473174981,0.7394245692904914,0.3911481286051679,-6.681680679321289e-06,1.7285346984863281e-06,2.25067138671875e-05,1.2546777725219727e-05
15.0,0.00018553286790847778,5.250722169876099e-05,0.0001059621572494507,4.1185882143009005,0.044092789127107734,0.3221466293895218,0.5711260476370505,0.289683830635646,0.5919557948399028,-1.2254714965820312e-05,-0.00011774301528930665,0.00012029707431793213,0.00012077093124389649
