clamp_value,formality_effect,emotion_effect,interaction_effect,formality_f,formality_p,emotion_f,emotion_p,interaction_f,interaction_p,formal_low_mean,formal_high_mean,casual_low_mean,casual_high_mean
-4.0,9.584799408912657e-06,5.130097270011903e-06,1.2286007404327365e-06,0.2603103697241186,0.6106190215251517,0.0744845799556993,0.7852721456343081,0.001938409907718438,0.9649950989261727,2.016723155975342e-05,1.5651434659957884e-05,3.0366331338882445e-05,2.4621933698654173e-05
0.0,2.4404376745223996e-06,7.007271051406857e-07,1.7136335372925313e-08,0.4065233422901591,0.5246622999080003,0.03343673030079573,0.8551445450502947,8.731745830048212e-06,0.9976498367388802,3.950297832489014e-06,3.2410025596618652e-06,6.382167339324951e-06,5.690008401870728e-06
1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0
4.0,1.1751055717468262e-05,2.648681402206421e-06,6.8634748458862325e-06,1.0698874492823423,0.30255143489770153,0.05400839942586573,0.816530375108226,0.1452221807553007,0.7041796879763037,-1.0028481483459473e-05,-1.0811537504196166e-05,-2.521127462387085e-05,-1.9130855798721312e-05
